SMILES,HeavyAtoms,NumBonds,NumRings,MW
NCCCNCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCNCCCN)C5=O,44,50,7,590.6840000000001
CC(=O)NCCCNCCCCNCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCNCCCCNCCCNC(C)=O)C5=O,60,66,7,817.0039999999996
CC(C)NCCNCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CNCCNC(C)C)C5=O,46,52,7,618.738
CN(C)CCCNCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCNCCCN(C)C)C5=O,48,54,7,646.7919999999999
CC(=O)NCCCNCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCNCCCNC(C)=O)C5=O,50,56,7,674.7579999999999
CN1CCN(c2cc3c4c(ccc5c6c(N7CCN(C)CC7)cc7c8c(ccc(c2c45)c86)C(=O)N(CCN2CCCCC2)C7=O)C(=O)N(CCN2CCCCC2)C3=O)CC1,60,70,11,809.0279999999998
CN(C)CCCN1CCN(c2cc3c4c(ccc5c6ccc7c8c(ccc(c2c45)c86)C(=O)N(CCN2CCCCC2)C7=O)C(=O)N(CCN2CCCCC2)C3=O)CC1,58,67,10,782.0019999999993
NCCCNCCCCNCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCNCCCCNCCCN)C5=O,56,62,7,760.9839999999996
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCCN1CCOCC1)c64)C(=O)N(CCCN1CCOCC1)C5=O,48,56,9,644.728
CCCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCCC)C5=O,56,62,7,755.0559999999994
