SMILES,Reason
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C(=O)OCC)[N+]#[C-])S6)C1=O)SC(=C(C#N)C(=O)OCC)S3,NDI core not found
CCCCC(CC)COC(=O)C(=C1SC2=C3C4=C5C(=C2S1)C(=O)N(C(=O)C5=C6C(=C4C(=O)N(C3=O)C)SC(=C(C(=O)OCC(CC)CCCC)[N+]#[C-])S6)C)C#N,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C(=O)OCCCCCC)[N+]#[C-])S6)C1=O)SC(=C(C#N)C(=O)OCCCCCC)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC(=C(C7=CC=CC=C7)[N+]#[C-])S6)C1=O)SC(=C(C#N)C8=CC=CC=C8)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC(=C(S6)[N+]#[C-])[N+]#[C-])C1=O)SC(=C(S3)C#N)C#N,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(S6)[N+]#[C-])[N+]#[C-])C1=O)SC(=C(S3)C#N)C#N,NDI core not found
CCCCCCC(CCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCC)CCCCCC)SC(=C(S6)[N+]#[C-])[N+]#[C-])C1=O)SC(=C(S3)C#N)C#N,NDI core not found
CCCCCCCCCCCCC(CCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCC)CCCCCC)SC(=C(S6)[N+]#[C-])[N+]#[C-])C1=O)SC(=C(S3)C#N)C#N,NDI core not found
CCCCC(CC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CC)CCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C(=O)OC)S6)C1=O)SC(=C(C#N)C(=O)OC)S3,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C7=CC=CC=C7)S6)C1=O)SC(=C(C#N)C8=CC=CC=C8)S3,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(C)CCCCCCCCCC)SC(=C(C#N)C7=CC=CC=C7)S6)C1=O)SC(=C(C#N)C8=CC=CC=C8)S3,NDI core not found
CCCCCCCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C6=CC7=C8C(=CC9=C2C8=C6C4=C6C2=C(C=C2C6=C(C=C4C5=C3C1=O)C(=O)N(C2=O)C(CCCCCCC)CCCCCCC)C1=C2C3=C(C=CC4=C3C(=C91)C(=O)N(C4=O)CCCCCCCC)C(=O)N(C2=O)CCCCCCCC)C(=O)N(C7=O)C(CCCCCCC)CCCCCCC)CCCCCCCC,NDI core not found
