dataset,Cx,Cy,MolFormula,Molecule_ID,SMILES,Sidechain,Source,Tx,Ty,Tz,Theta,best_objective,interaction_energy,Full_torsion_angles,optimization_success,xyz_file_path,xyz_generated,Original_MolFormula,hash,smiles_occurrence_count
NDI,2.3928,0.0455,C26H32N4O4_1,C26H32N4O4_1,CCCCN(CC)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CC)CCCC)C3=O,CCCCNCC,Pubchem,-1.0429,-1.6779,3.1901,-45,-108.126802,-106.48786,"[-52.851, -66.791]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C26H32N4O4/C26H32N4O4.xyz,True,C26H32N4O4,d02239a236b25394,1
NDI,1.5969,0.2959,C42H32N4O4_2,C42H32N4O4_2,O=C1c2ccc3c4c(ccc(c24)C(=O)N1N(Cc1ccccc1)Cc1ccccc1)C(=O)N(N(Cc1ccccc1)Cc1ccccc1)C3=O,c1ccc(CNCc2ccccc2)cc1,Pubchem,0.8695,-2.1312,3.1857,-61.899,-132.387556,-132.387649,"[56.93, -61.509, -77.184, 46.403, -46.275, -104.853]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C42H32N4O4/C42H32N4O4.xyz,True,C42H32N4O4,db41a819307d7d8f,1
NDI,-2.3061,-9.1972,C28H24N4O4S2_1,C28H24N4O4S2_1,CCN(c1ccc(C)s1)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CC)c1ccc(C)s1)C3=O,CCNc1ccc(C)s1,Pubchem,-0.2182,3.055,3.0218,-1.597,-135.549579,-135.549588,"[-355.564, -48.663, 65.528, 316.711]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C28H24N4O4S2/C28H24N4O4S2.xyz,True,C28H24N4O4S2,8e700daa79903365,1
NDI,0.0441,-2.0358,C32H44N4O4_2,C32H44N4O4_2,CCCCN(C(CC)CC)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CCCC)C(CC)CC)C3=O,CCCCNC(CC)CC,Pubchem,0.0976,-0.6407,3.1454,174.881,-79.437227,-79.407851,"[11.696, 18.525]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C32H44N4O4/C32H44N4O4.xyz,True,C32H44N4O4,2c965e22f0d93b1a,1
NDI,-0.0222,1.3611,C38H24N4O4_1,C38H24N4O4_1,O=C1c2ccc3c4c(ccc(c24)C(=O)N1N(c1ccccc1)c1ccccc1)C(=O)N(N(c1ccccc1)c1ccccc1)C3=O,c1ccc(Nc2ccccc2)cc1,Pubchem,-3.0335,-1.7361,2.7444,157.719,-76.31028,-76.31024,"[25.27, 27.432, 66.855, 36.713, -50.818, -21.203]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C38H24N4O4/C38H24N4O4.xyz,True,C38H24N4O4,baa0211076c1c878,1
NDI,-0.5631,2.0791,C42H64N4O8_1,C42H64N4O8_1,CCCCCCN(C(C)CCOCC)N1C(=O)c2c(C)c(OC)c3c4c(c(C)c(OC)c(c24)C1=O)C(=O)N(N(CCCCCC)C(C)CCOCC)C3=O,CCCCCCNC(C)CCOCC,Pubchem,-1.4615,2.956,4.2816,-157.05,-63.569846,-63.396899,"[359.203, 41.739, -17.942, -15.734]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C42H64N4O8/C42H64N4O8.xyz,True,C42H64N4O8,2e758d3f3e5f40f0,1
NDI,-2.9908,-4.0462,C30H40N4O4_1,C30H40N4O4_1,CCCCN(CCCC)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CCCC)CCCC)C3=O,CCCCNCCCC,Pubchem,-1.8727,3.2046,3.1686,-43.929,-115.031894,-113.829154,"[-65.177, -69.883]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C30H40N4O4/C30H40N4O4.xyz,True,C30H40N4O4,4b40a194d7796c60,1
NDI,-0.0517,3.0544,C40H44N4O4_1,C40H44N4O4_1,CCCC(C)CCN(c1ccccc1)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CCC(C)CCC)c1ccccc1)C3=O,CCCC(C)CCNc1ccccc1,Pubchem,0.2319,3.038,3.1024,-161.154,-98.372372,-98.37241,"[-10.187, -37.137, -19.28, -1.308]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C40H44N4O4/C40H44N4O4.xyz,True,C40H44N4O4,d0d5f57b5dc4b294,1
NDI,-2.5571,9.9562,C44H48N4O6_1,C44H48N4O6_1,CCOc1ccc(CN(C2CCCCC2)N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(N(Cc2ccc(OCC)cc2)C2CCCCC2)C4=O)cc1,CCOc1ccc(CNC2CCCCC2)cc1,Pubchem,-1.5953,-4.2258,3.1149,5.815,-126.840985,-126.840971,"[-61.697, 35.195, 47.794, -30.422, -22.194, -105.902]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C44H48N4O6/C44H48N4O6.xyz,True,C44H48N4O6,4066cfc91c8894a5,1
NDI,-3.7192,2.047,C22H24N4O4_1,C22H24N4O4_1,CCN(CC)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CC)CC)C3=O,CCNCC,Pubchem,2.5842,2.2219,3.1874,-45,-106.668452,-103.860855,"[-67.534, -81.456]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C22H24N4O4/C22H24N4O4.xyz,True,C22H24N4O4,e2d66db66bd23d2e,1
